AC_NO,AC_NAME,PHASE,CAND_SL_NO,CAND_NAME,CAND_SEX,CAND_AGE,CAND_CATEGORY,PARTYABBRE,PARTYNAME,SYMBOL_DES
1,Sirpur,1,1,KAVETI SAMMAIAH,M,51,GEN,TRS,Telangana Rashtra Samithi,Car
1,Sirpur,1,2,KONERU KONAPPA,M,54,GEN,INC,Indian National Congress,Hand
1,Sirpur,1,3,GANAPURAM MURALIDHER,M,44,GEN,BJP,Bharatiya Janata Party,Lotus
1,Sirpur,1,4,RAVINDAR NIKODA,M,30,GEN,BSP,Bahujan Samaj Party,Elephant
1,Sirpur,1,5,DUBBULA JANARDHAN,M,41,GEN,LSP,Lok Satta Party,Whistle
1,Sirpur,1,6,BINGI SRINIVAS,M,40,GEN,PPOI,Pyramid Party of India,Television
1,Sirpur,1,7,LENDUGURE MENGAJI PATEL,M,59,GEN,PRP,Praja Rajyam Party,Railway Engine
1,Sirpur,1,8,DUBBULA VENKAIAH,M,29,GEN,IND,Independent,Road Roller
2,Chennur,1,1,ARUMULLA POSHAM,M,43,SC,BJP,Bharatiya Janata Party,Lotus
2,Chennur,1,2,NALLALA ODELU,M,45,SC,TRS,Telangana Rashtra Samithi,Car
2,Chennur,1,3,G. VINOD,M,53,SC,INC,Indian National Congress,Hand
2,Chennur,1,4,ANDUGULA SRINIVAS,M,38,SC,PRP,Praja Rajyam Party,Railway Engine
2,Chennur,1,5,JADI MALLAIAH,M,56,SC,JD(S),Janata Dal (Secular),A lady farmer carrying paddy on her head
2,Chennur,1,6,MEKALA SAROJA,F,36,SC,LSP,Lok Satta Party,Whistle
2,Chennur,1,7,JADI YESAIAH,M,39,SC,IND,Independent,Road Roller
2,Chennur,1,8,PONNALA VINAY KUMAR,M,40,SC,IND,Independent,Cup & Saucer
2,Chennur,1,9,VOLAPU SRINIVAS,M,31,SC,IND,Independent,Coconut
3,BELLAMPALLE,1,1,GUNDA MALLESH,M,62,SC,CPI,Communist Party of India,Ears of Corn And Sickle
3,BELLAMPALLE,1,2,CHILUMALA SHANKAR,M,44,SC,INC,Indian National Congress,Hand
3,BELLAMPALLE,1,3,AMURAJULA SRIDEVI,F,35,SC,PRP,Praja Rajyam Party,Railway Engine
3,BELLAMPALLE,1,4,PAGIDI VENKATI,M,45,SC,IND,Independent,Television
3,BELLAMPALLE,1,5,BOLUMALLA ANJAIAH,M,64,SC,IND,Independent,Ring
3,BELLAMPALLE,1,6,RAVULA RAMAKRISHNA,M,34,SC,IND,Independent,Cup & Saucer
3,BELLAMPALLE,1,7,SAKINALA NARAYANA,M,34,SC,IND,Independent,Gas Cylinder
4,Mancherial,1,1,ARAVINDA REDDY GADDAM,M,51,GEN,TRS,Telangana Rashtra Samithi,Car
4,Mancherial,1,2,UPENDER NANDELI,M,45,GEN,BSP,Bahujan Samaj Party,Elephant
4,Mancherial,1,3,DIWAKAR RAO NADIPALLI,M,57,GEN,INC,Indian National Congress,Hand
4,Mancherial,1,4,PEDDAPALLY PURUSHOTHAM,M,49,GEN,BJP,Bharatiya Janata Party,Lotus
4,Mancherial,1,5,KARRE LACHANNA,M,51,GEN,PRP,Praja Rajyam Party,Railway Engine
4,Mancherial,1,6,THAMMADI SRINIVAS,M,38,GEN,LSP,Lok Satta Party,Whistle
4,Mancherial,1,7,MADUPU RAVI KUMAR,M,39,GEN,PPOI,Pyramid Party of India,Television
4,Mancherial,1,8,INGU RATAN KUMAR,M,32,GEN,IND,Independent,Gas Cylinder
4,Mancherial,1,9,CHIPURUSHETTY DINPATHI,M,37,GEN,IND,Independent,Cot
4,Mancherial,1,10,JAYPAL SINGH THAKUR,M,34,GEN,IND,Independent,Almirah
4,Mancherial,1,11,TULA MADHUSUDAN RAO,M,40,GEN,IND,Independent,Cup & Saucer
4,Mancherial,1,12,DR. M.NEELAKANTESHWARA (GOUD),M,51,GEN,IND,Independent,Gas Stove
4,Mancherial,1,13,NAINALA VENKATESHWARLU,M,41,GEN,IND,Independent,Scissors
5,Asifabad,1,1,ATHRAM SAKKU,M,36,ST,INC,Indian National Congress,Hand
5,Asifabad,1,2,KANAKA RAMABAI,F,40,ST,BSP,Bahujan Samaj Party,Elephant
5,Asifabad,1,3,PENDRAM GOPI,M,42,ST,TRS,Telangana Rashtra Samithi,Car
5,Asifabad,1,4,SIDAM JAGGARAO,M,64,ST,BJP,Bharatiya Janata Party,Lotus
5,Asifabad,1,5,ADE RAMESH,M,47,ST,PRP,Praja Rajyam Party,Railway Engine
5,Asifabad,1,6,AJMERA REKHA,F,34,ST,IND,Independent,Banana
5,Asifabad,1,7,BUKYA CHANDULAL,M,35,ST,IND,Independent,Iron
5,Asifabad,1,8,RATHOD GOVIND NAIK,M,47,ST,IND,Independent,Gas Cylinder
5,Asifabad,1,9,SALLAM KRISHNA RAO,M,29,ST,IND,Independent,Television
6,Khanapur,1,1,AJMEERA HARI NAIK,M,42,ST,INC,Indian National Congress,Hand
6,Khanapur,1,2,GUGLAVATH SRIRAM NAIK,M,41,ST,BJP,Bharatiya Janata Party,Lotus
6,Khanapur,1,3,K. LAKKE RAO,M,43,ST,BSP,Bahujan Samaj Party,Elephant
6,Khanapur,1,4,SUMAN RATHOD,F,45,ST,TDP,Telugu Desam,Bicycle
6,Khanapur,1,5,BHUKYA CHANDRA SHEKAR,M,28,ST,PRP,Praja Rajyam Party,Railway Engine
6,Khanapur,1,6,ADE DATTARAM,M,43,ST,IND,Independent,Road Roller
6,Khanapur,1,7,BAKSHI NAIK LAVADIA,M,47,ST,IND,Independent,Cup & Saucer
6,Khanapur,1,8,MARSKOLA THIRUPATHI,M,34,ST,IND,Independent,Scissors
6,Khanapur,1,9,MALWANTH ROHIDAS,M,38,ST,IND,Independent,Gas Cylinder
6,Khanapur,1,10,SIDAM SHAMBU,M,38,ST,IND,Independent,Ring
7,Adilabad,1,1,GADDALA SHANKAR,M,50,SC,BSP,Bahujan Samaj Party,Elephant
7,Adilabad,1,2,CHILUKURI RAMCHANDRA REDDY,M,65,GEN,INC,Indian National Congress,Hand
7,Adilabad,1,3,JOGU RAMANNA,M,46,GEN,TDP,Telugu Desam,Bicycle
7,Adilabad,1,4,NIVEDITA VAZE,F,46,GEN,BJP,Bharatiya Janata Party,Lotus
7,Adilabad,1,5,CHILUKURI THIRUPATHI,M,43,GEN,PRP,Praja Rajyam Party,Railway Engine
7,Adilabad,1,6,ANNAM PREM DEVENDAR,M,32,GEN,IND,Independent,Gas Cylinder
7,Adilabad,1,7,S.K. AHMED,M,79,GEN,IND,Independent,Ceiling Fan
7,Adilabad,1,8,OMKARMAL SHARMA,M,67,GEN,IND,Independent,Cup & Saucer
7,Adilabad,1,9,KATTA CHANDRAMOULI,M,52,GEN,IND,Independent,Maize
7,Adilabad,1,10,CHALLA CHANDRA MOHAN,M,33,GEN,IND,Independent,Bat
7,Adilabad,1,11,CHITYALA SUHASINI,F,43,GEN,IND,Independent,Television
7,Adilabad,1,12,DARSHA POCHANNA,M,59,GEN,IND,Independent,Kite
7,Adilabad,1,13,BHANU RAJESHWAR RAO,M,52,GEN,IND,Independent,Coconut
7,Adilabad,1,14,SAYYAD JAVEEDSHAH,M,47,GEN,IND,Independent,Battery Torch
8,Boath,1,1,ADE MANAJI,M,40,ST,BJP,Bharatiya Janata Party,Lotus
8,Boath,1,2,ANIL KUMAR JADHAV,M,35,ST,INC,Indian National Congress,Hand
8,Boath,1,3,GODEM NAGESH,M,43,ST,TDP,Telugu Desam,Bicycle
8,Boath,1,4,THODASAM VIJAYALAXMI,F,33,ST,PRP,Praja Rajyam Party,Railway Engine
8,Boath,1,5,ATRAM GNANASUDHA,F,38,ST,IND,Independent,Almirah
8,Boath,1,6,KOVA MANOHAR,M,59,ST,IND,Independent,Cup & Saucer
8,Boath,1,7,MESRAM BHEEMRAO,M,33,ST,IND,Independent,Balloon
9,Nirmal,1,1,ALLOLA INDRA KARAN REDDY,M,60,GEN,INC,Indian National Congress,Hand
9,Nirmal,1,2,K. PRAKASHAMU,M,61,SC,BSP,Bahujan Samaj Party,Elephant
9,Nirmal,1,3,RAVULA RAMNATH,M,43,GEN,BJP,Bharatiya Janata Party,Lotus
9,Nirmal,1,4,K. SRIHARI RAO,M,48,GEN,TRS,Telangana Rashtra Samithi,Car
9,Nirmal,1,5,ALLETI MAHESHWAR REDDY,M,40,GEN,PRP,Praja Rajyam Party,Railway Engine
9,Nirmal,1,6,NIGULAPU LINGANNA,M,33,SC,BSP(AP),Bahujan Samaj Party(Ambedkar-Phule),Gas Cylinder
9,Nirmal,1,7,POONDRU NARSA REDDY,M,35,GEN,LSP,Lok Satta Party,Whistle
9,Nirmal,1,8,KOTLA NARAYANA,M,46,GEN,IND,Independent,Jug
9,Nirmal,1,9,NALMELA POSHETTY,M,35,SC,IND,Independent,Batsman
10,Mudhole,1,1,ABDUL BHARI,M,37,GEN,BSP,Bahujan Samaj Party,Elephant
10,Mudhole,1,2,PATIL NARAYAN RAO BHOSLE,M,50,GEN,INC,Indian National Congress,Hand
10,Mudhole,1,3,VENUGOPALA CHARY. S,M,50,GEN,TDP,Telugu Desam,Bicycle
10,Mudhole,1,4,SATISHWER RAO,M,42,GEN,BJP,Bharatiya Janata Party,Lotus
10,Mudhole,1,5,GADDIGARI VITTAL REDDY,M,54,GEN,PRP,Praja Rajyam Party,Railway Engine
10,Mudhole,1,6,GANAPATHI,M,55,GEN,TPPP,Trilinga Praja Pragati Party,Ceiling Fan
10,Mudhole,1,7,PULI PEDDA BHUMANNA,M,65,GEN,PPOI,Pyramid Party of India,Television
10,Mudhole,1,8,BALAPUR GANGADHER,M,37,GEN,CPI(ML)(L),Communist Party of India (Marxist-Leninist) (Liberation),Flag with Three Stars
10,Mudhole,1,9,CHINNA CHINNANNA,M,31,GEN,IND,Independent,Coconut
10,Mudhole,1,10,P. RAMACHANDRA REDDY,M,72,GEN,IND,Independent,Gas Cylinder
10,Mudhole,1,11,RAMDASS ANABOINAWAD,M,55,GEN,IND,Independent,Almirah
10,Mudhole,1,12,SAGAR AGRE,M,44,GEN,IND,Independent,Battery Torch
11,Armoor,1,1,ANNAPURNA ALETI,F,53,GEN,TDP,Telugu Desam,Bicycle
11,Armoor,1,2,MOTHKURI LINGA GOUD,M,39,GEN,BSP,Bahujan Samaj Party,Elephant
11,Armoor,1,3,SRINIVAS ALJAPUR,M,45,GEN,BJP,Bharatiya Janata Party,Lotus
11,Armoor,1,4,K.R. SURESH REDDY,M,49,GEN,INC,Indian National Congress,Hand
11,Armoor,1,5,KRISHNA BOKKENA,M,32,GEN,LSP,Lok Satta Party,Whistle
11,Armoor,1,6,BADDAM MADHU SHEKAR,M,46,SC,PRP,Praja Rajyam Party,Railway Engine
11,Armoor,1,7,MUKKA SATHYANARAYANA,M,49,GEN,PPOI,Pyramid Party of India,Television
11,Armoor,1,8,MOHAN,M,37,SC,IND,Independent,Almirah
11,Armoor,1,9,REGULLA SATYANARAYANA,M,40,GEN,IND,Independent,Scissors
11,Armoor,1,10,VIJAY KUMAR GATADI,M,31,GEN,IND,Independent,Cup & Saucer
12,Bodhan,1,1,KOTIGARI SHIVAPPA,M,45,GEN,BJP,Bharatiya Janata Party,Lotus
12,Bodhan,1,2,SHAKEEL M.D,M,32,GEN,TRS,Telangana Rashtra Samithi,Car
12,Bodhan,1,3,SUDERSHAN REDDY,M,55,GEN,INC,Indian National Congress,Hand
12,Bodhan,1,4,C.KARUNAKAR REDDY,M,43,GEN,PRP,Praja Rajyam Party,Railway Engine
12,Bodhan,1,5,KESANI SRINIVAS RAO,M,35,GEN,PPOI,Pyramid Party of India,Television
12,Bodhan,1,6,JAMEEL AHMED,M,36,GEN,LSP,Lok Satta Party,Whistle
12,Bodhan,1,7,Y.SAI BABU,M,37,GEN,MCPI(S),Marxist Communist Party of India (S.S. Srivastava),Ceiling Fan
13,Jukkal,1,1,JUTTOLLA SAILU,M,40,SC,BJP,Bharatiya Janata Party,Lotus
13,Jukkal,1,2,VITTAL,M,36,SC,BSP,Bahujan Samaj Party,Elephant
13,Jukkal,1,3,SAVITHRI S,F,42,SC,INC,Indian National Congress,Hand
13,Jukkal,1,4,HANMANTH SHINDE,M,41,SC,TDP,Telugu Desam,Bicycle
13,Jukkal,1,5,T. ARUNA TARA,F,36,SC,PRP,Praja Rajyam Party,Railway Engine
13,Jukkal,1,6,A.K. LATHA,F,31,SC,LSP,Lok Satta Party,Whistle
13,Jukkal,1,7,ERROLLA SAILU,M,32,SC,IND,Independent,Cup & Saucer
14,Banswada,1,1,NAGAIAH MACHARLA,M,40,GEN,BSP,Bahujan Samaj Party,Elephant
14,Banswada,1,2,POCHARAM SRINIVAS REDDY (PARIGE),M,56,GEN,TDP,Telugu Desam,Bicycle
14,Banswada,1,3,BAJIREDDI GOVERDHAN,M,53,GEN,INC,Indian National Congress,Hand
14,Banswada,1,4,MOHAN REDDY RYALA,M,42,GEN,BJP,Bharatiya Janata Party,Lotus
14,Banswada,1,5,K.GEETA MURTHY,F,43,GEN,LSP,Lok Satta Party,Whistle
14,Banswada,1,6,BALARAJ KASULAWAR,M,47,GEN,PRP,Praja Rajyam Party,Railway Engine
14,Banswada,1,7,BEJUGAM SHANKER,M,50,GEN,PPOI,Pyramid Party of India,Television
14,Banswada,1,8,AVUSALI GANGADHAR,M,41,GEN,IND,Independent,Almirah
15,Yellareddy,1,1,ANKAM PRABHU,M,45,GEN,BSP,Bahujan Samaj Party,Elephant
15,Yellareddy,1,2,EANUGU RAVINDHER REDDY,M,44,GEN,TRS,Telangana Rashtra Samithi,Car
15,Yellareddy,1,3,JANARDHAN GOUD BOGUDAMEEDHI,M,53,GEN,INC,Indian National Congress,Hand
15,Yellareddy,1,4,SATYANARAYANA RAO RAVIKANTHI,M,65,GEN,BJP,Bharatiya Janata Party,Lotus
15,Yellareddy,1,5,JAMUNA,F,32,ST,PRP,Praja Rajyam Party,Railway Engine
15,Yellareddy,1,6,MARRI RAM REDDY,M,40,GEN,LSP,Lok Satta Party,Whistle
15,Yellareddy,1,7,AKULA ANUSUJA,F,40,GEN,IND,Independent,Spoon
15,Yellareddy,1,8,AKULA VIJAYA,F,49,GEN,IND,Independent,Scissors
15,Yellareddy,1,9,KISHAN RAO M,M,53,GEN,IND,Independent,Road Roller
15,Yellareddy,1,10,J KRISHNA,M,33,GEN,IND,Independent,Ring
15,Yellareddy,1,11,POTHARAJU SWAMY,M,27,SC,IND,Independent,Television
15,Yellareddy,1,12,RAMESH KANDADDI,M,25,GEN,IND,Independent,Gas Cylinder
16,Kamareddy,1,1,ALI MAHAMMAD SHABBIR,M,51,GEN,INC,Indian National Congress,Hand
16,Kamareddy,1,2,UPPUNUTHALA MURALIDHAR GOUD,M,39,GEN,BJP,Bharatiya Janata Party,Lotus
16,Kamareddy,1,3,KYATHAM SIDHA RAMULU,M,44,GEN,BSP,Bahujan Samaj Party,Elephant
16,Kamareddy,1,4,GAMAPA GOVARDHAN,M,45,GEN,TDP,Telugu Desam,Bicycle
16,Kamareddy,1,5,DHATRIKA VITTAL,M,48,GEN,PRP,Praja Rajyam Party,Railway Engine
16,Kamareddy,1,6,BOYINI RAMULU,M,26,GEN,PPOI,Pyramid Party of India,Television
16,Kamareddy,1,7,SHIVARATHRI PRATHAP,M,43,GEN,LSP,Lok Satta Party,Whistle
16,Kamareddy,1,8,KODIPYAKA MAHENDER GOUD,M,46,GEN,IND,Independent,Coconut
17,Nizamabad (Urban),1,1,ENDALA LAKSHMI NARAYANA,M,41,GEN,BJP,Bharatiya Janata Party,Lotus
17,Nizamabad (Urban),1,2,DHARMAPURI SRINIVAS,M,57,GEN,INC,Indian National Congress,Hand
17,Nizamabad (Urban),1,3,A.S.POSHETTY,M,60,GEN,TRS,Telangana Rashtra Samithi,Car
17,Nizamabad (Urban),1,4,B.LAXMAN,M,42,GEN,BSP,Bahujan Samaj Party,Elephant
17,Nizamabad (Urban),1,5,M.D.NAZEER,M,33,GEN,BSP(AP),Bahujan Samaj Party(Ambedkar-Phule),Camera
17,Nizamabad (Urban),1,6,M.A.MAJEED,M,55,GEN,SP,Samajwadi Party,Kite
17,Nizamabad (Urban),1,7,MOHAMMAD KHAJA MOINUDDIN,M,51,GEN,MUL,Muslim League Kerala State Committee,Ladder
17,Nizamabad (Urban),1,8,M.A.RAHIM,M,43,GEN,PRP,Praja Rajyam Party,Railway Engine
17,Nizamabad (Urban),1,9,VIJAYA LAXMI NAROJU JANARDHAN,F,46,GEN,PPOI,Pyramid Party of India,Television
17,Nizamabad (Urban),1,10,D.SHEKAR,M,36,GEN,LSP,Lok Satta Party,Whistle
17,Nizamabad (Urban),1,11,GADDAM VIKRAM REDDY,M,28,GEN,IND,Independent,Cup & Saucer
17,Nizamabad (Urban),1,12,DAYANAND.B,M,43,GEN,IND,Independent,Bat
18,Nizamabad (Rural),1,1,AKULA LALITHA,F,40,GEN,INC,Indian National Congress,Hand
18,Nizamabad (Rural),1,2,MANDAVA VENKATESHWARA RAO,M,54,GEN,TDP,Telugu Desam,Bicycle
18,Nizamabad (Rural),1,3,LEELA SHIVA SREE. K,F,44,GEN,BJP,Bharatiya Janata Party,Lotus
18,Nizamabad (Rural),1,4,SAYANNA TIRUMANI,M,58,SC,BSP,Bahujan Samaj Party,Elephant
18,Nizamabad (Rural),1,5,G. CHINNA BHOMAIAH,M,38,SC,BSP(AP),Bahujan Samaj Party(Ambedkar-Phule),Kite
18,Nizamabad (Rural),1,6,BANOTH BILOJI NAYAK,M,26,ST,LSP,Lok Satta Party,Whistle
18,Nizamabad (Rural),1,7,MADAS LINGAM,M,53,GEN,BHSASP,Bharatheeya Sadharma Samsthapana Party,Cake
18,Nizamabad (Rural),1,8,DR. RAVINDER REDDY,M,55,GEN,PRP,Praja Rajyam Party,Railway Engine
18,Nizamabad (Rural),1,9,RUDRA MADHUSUDHAN,M,28,GEN,PPOI,Pyramid Party of India,Television
18,Nizamabad (Rural),1,10,V. PRABHAKAR,M,48,GEN,IND,Independent,Scissors
19,Balkonda,1,1,RAMESH YADAV BASA,M,48,GEN,BSP,Bahujan Samaj Party,Elephant
19,Balkonda,1,2,RUYYADI RAJESHWAR,M,35,GEN,BJP,Bharatiya Janata Party,Lotus
19,Balkonda,1,3,SRINIVAS REDDY SHANIGARAM,M,39,GEN,INC,Indian National Congress,Hand
19,Balkonda,1,4,SURENDER REDDY VEMULA,M,63,GEN,TRS,Telangana Rashtra Samithi,Car
19,Balkonda,1,5,ANIL KUMAR ERAVATHRI,M,36,GEN,PRP,Praja Rajyam Party,Railway Engine
19,Balkonda,1,6,NAVEEN REDDY KYATHAM,M,32,GEN,LSP,Lok Satta Party,Whistle
19,Balkonda,1,7,MADHUKAR ELIGETI,M,29,GEN,PPOI,Pyramid Party of India,Television
20,Koratla,1,1,KALVAKUNTLA VIDYASAGAR RAO,M,56,GEN,TRS,Telangana Rashtra Samithi,Car
20,Koratla,1,2,KOMIREDDY VIJAYA AZAD,M,31,GEN,BSP,Bahujan Samaj Party,Elephant
20,Koratla,1,3,JUVVADI RATHNAKAR RAO,M,81,GEN,INC,Indian National Congress,Hand
20,Koratla,1,4,TUMMALA MAMATHA REDDY DAMU,F,43,GEN,BJP,Bharatiya Janata Party,Lotus
20,Koratla,1,5,CHEVULAMADDI SHANKAR,M,33,SC,PPOI,Pyramid Party of India,Television
20,Koratla,1,6,JANGILI SUNITHA VENKAT,F,29,GEN,PRP,Praja Rajyam Party,Railway Engine
20,Koratla,1,7,MUTHYALA VENKAT REDDY,M,37,GEN,LSP,Lok Satta Party,Whistle
20,Koratla,1,8,KOMIREDDY LINGA REDDY,M,33,GEN,IND,Independent,Coconut
20,Koratla,1,9,M.A. GAFFAR,M,55,GEN,IND,Independent,Cup & Saucer
20,Koratla,1,10,POTHKURI NADIPI RAJAM,M,55,GEN,IND,Independent,Maize
20,Koratla,1,11,BOKKENAPALLI GANGADHAR,M,47,GEN,IND,Independent,Banana
21,Jagtial,1,1,KOMIREDDY KARAMCHAND,M,33,GEN,BSP,Bahujan Samaj Party,Elephant
21,Jagtial,1,2,T. JEEVAN REDDY,M,58,GEN,INC,Indian National Congress,Hand
21,Jagtial,1,3,L. RAMANA,M,48,GEN,TDP,Telugu Desam,Bicycle
21,Jagtial,1,4,DR. CHANDRA SHEKAR GOUD,M,45,GEN,PRP,Praja Rajyam Party,Railway Engine
21,Jagtial,1,5,MENNENI VIDYA SAGAR RAO,M,63,GEN,LSP,Lok Satta Party,Whistle
21,Jagtial,1,6,DR. V. SATYANARAYANA MURTHY,M,51,GEN,PPOI,Pyramid Party of India,Television
21,Jagtial,1,7,MOHAMMED JAMALUDDIN,M,61,GEN,IND,Independent,Gas Cylinder
22,Dharmapuri,1,1,ADLURI LAXMAN KUMAR,M,42,SC,INC,Indian National Congress,Hand
22,Dharmapuri,1,2,ESHWAR KOPPULA,M,50,SC,TRS,Telangana Rashtra Samithi,Car
22,Dharmapuri,1,3,SOGALA KUMAR,M,43,SC,BJP,Bharatiya Janata Party,Lotus
22,Dharmapuri,1,4,GADDAM RAJESH,M,39,SC,PRP,Praja Rajyam Party,Railway Engine
22,Dharmapuri,1,5,MADDELA RAVINDAR,M,35,SC,LSP,Lok Satta Party,Whistle
22,Dharmapuri,1,6,MOKENAPALLY RAJAVVA,F,48,SC,IND,Independent,Ceiling Fan
23,Ramagundam,1,1,KORUKANTI CHANDAR PATEL,M,36,GEN,TRS,Telangana Rashtra Samithi,Car
23,Ramagundam,1,2,DR. NUTHALAPATI RATNAM,M,50,GEN,BSP,Bahujan Samaj Party,Elephant
23,Ramagundam,1,3,BALMURI VANITHA,F,38,GEN,BJP,Bharatiya Janata Party,Lotus
23,Ramagundam,1,4,BABAR SALEEM PASHA,M,56,GEN,INC,Indian National Congress,Hand
23,Ramagundam,1,5,ANIL KUMAR TANGEDA,M,30,GEN,LSP,Lok Satta Party,Whistle
23,Ramagundam,1,6,KAUSIKA HARINATH,M,44,GEN,PRP,Praja Rajyam Party,Railway Engine
23,Ramagundam,1,7,JEEDI RAVI KUMAR,M,30,GEN,TPPP,Trilinga Praja Pragati Party,Banana
23,Ramagundam,1,8,VAHIDA,F,30,GEN,MCPI(S),Marxist Communist Party of India (S.S. Srivastava),Ring
23,Ramagundam,1,9,KODIPUNJULA RAJAIAH,M,40,GEN,IND,Independent,Scissors
23,Ramagundam,1,10,GORRE RAMESH,M,42,GEN,IND,Independent,Coconut
23,Ramagundam,1,11,GANDRA REKHA,F,30,GEN,IND,Independent,Almirah
23,Ramagundam,1,12,CHOPPARI SHANKAR MUDIRAJ,M,50,GEN,IND,Independent,Balloon
23,Ramagundam,1,13,JUMMIDI THIRUPATHI,M,37,GEN,IND,Independent,Gas Cylinder
23,Ramagundam,1,14,PATHA BAPU SHETTI,M,58,GEN,IND,Independent,Ceiling Fan
23,Ramagundam,1,15,SOMARAPU SATYANARAYANA,M,60,GEN,IND,Independent,Television
24,Manthani,1,1,TAGARAM SHANKAR LAL,M,32,SC,BSP,Bahujan Samaj Party,Elephant
24,Manthani,1,2,DUDDILLA SRIDHAR BABU,M,39,GEN,INC,Indian National Congress,Hand
24,Manthani,1,3,ROUTHU KANKAIAH,M,44,GEN,TRS,Telangana Rashtra Samithi,Car
24,Manthani,1,4,SHASHI BHUSHAN KACHE,M,37,GEN,BJP,Bharatiya Janata Party,Lotus
24,Manthani,1,5,ODELA SAMPATH,M,27,GEN,LSP,Lok Satta Party,Whistle
24,Manthani,1,6,PUTTA MADHU,M,36,GEN,PRP,Praja Rajyam Party,Railway Engine
24,Manthani,1,7,AMMA JAMPAIAH,M,29,GEN,IND,Independent,Coconut
24,Manthani,1,8,BACHALA ERRAIAH,M,39,ST,IND,Independent,Nagara
24,Manthani,1,9,MADADI PRABHAKAR REDDY,M,72,GEN,IND,Independent,Bat
24,Manthani,1,10,MD. SHAMSHODDIN,M,34,GEN,IND,Independent,Television
25,Peddapalli,1,1,GUJJULA RAMAKRISHNA REDDY,M,48,GEN,BJP,Bharatiya Janata Party,Lotus
25,Peddapalli,1,2,CHINTHAKUNTA VIJAYA RAMANA RAO,M,42,GEN,TDP,Telugu Desam,Bicycle
25,Peddapalli,1,3,BAKAM SANTHOSH KUMAR,M,38,GEN,BSP,Bahujan Samaj Party,Elephant
25,Peddapalli,1,4,MUKUNDA REDDY GEETLA,M,64,GEN,INC,Indian National Congress,Hand
25,Peddapalli,1,5,C. SATYANARAYANA REDDY,M,48,GEN,TRS,Telangana Rashtra Samithi,Car
25,Peddapalli,1,6,KRISHNA REDDY TUMMALA,M,44,GEN,MCPI(S),Marxist Communist Party of India (S.S. Srivastava),Ceiling Fan
25,Peddapalli,1,7,PALLE MALLESH,M,31,SC,TPPP,Trilinga Praja Pragati Party,Scissors
25,Peddapalli,1,8,MADASU SRINIVASA RAO,M,55,GEN,LSP,Lok Satta Party,Whistle
25,Peddapalli,1,9,VEMULA PADMAVATHI,F,48,GEN,PRP,Praja Rajyam Party,Railway Engine
25,Peddapalli,1,10,KATHERLA RAJANNA,M,51,GEN,IND,Independent,Almirah
25,Peddapalli,1,11,KOTA DAMODHAR REDDY,M,27,GEN,IND,Independent,Gas Stove
25,Peddapalli,1,12,BONALA KUMARI KAMALA,F,66,GEN,IND,Independent,Maize
26,Karimnagar,1,1,AMARAGONI PARUSHURAM,M,44,GEN,BSP,Bahujan Samaj Party,Elephant
26,Karimnagar,1,2,GANGULA KAMALAKAR,M,41,GEN,TDP,Telugu Desam,Bicycle
26,Karimnagar,1,3,CHALIMEDA LAKSHMI NARASIMHA RAO,M,49,GEN,INC,Indian National Congress,Hand
26,Karimnagar,1,4,P. SUGUNAKAR RAO,M,48,GEN,BJP,Bharatiya Janata Party,Lotus
26,Karimnagar,1,5,ANGARIKA RUKMINI,F,49,GEN,PPOI,Pyramid Party of India,Television
26,Karimnagar,1,6,KAVVAMPALLI MALLAIAH,M,38,SC,TPPP,Trilinga Praja Pragati Party,Scissors
26,Karimnagar,1,7,DEVENDER RAO KATARI,M,63,GEN,PRP,Praja Rajyam Party,Railway Engine
26,Karimnagar,1,8,LENKALA RAJA REDDY,M,48,GEN,LSP,Lok Satta Party,Whistle
26,Karimnagar,1,9,CHINTHALA LAXMI,F,31,SC,IND,Independent,Gas Stove
26,Karimnagar,1,10,JANGA CHANDRA REDDY,M,32,GEN,IND,Independent,Batsman
26,Karimnagar,1,11,MD. JAMEELUDDIN,M,30,GEN,IND,Independent,Kite
26,Karimnagar,1,12,PUSALA SAMPATH,M,33,GEN,IND,Independent,Iron
26,Karimnagar,1,13,D. MALLAIAH,M,58,GEN,IND,Independent,Cot
26,Karimnagar,1,14,MADARI SRINIVAS,M,30,GEN,IND,Independent,Ceiling Fan
26,Karimnagar,1,15,VARALA NARAYANA,M,45,GEN,IND,Independent,Coconut
26,Karimnagar,1,16,SRIRAMULA VENKATESHWARLU,M,39,GEN,IND,Independent,Bat
26,Karimnagar,1,17,DR.SAYYED ARIF HUSSAIN,M,33,GEN,IND,Independent,Ring
27,Choppadandi,1,1,GUNUKONDA BABU,M,33,SC,INC,Indian National Congress,Hand
27,Choppadandi,1,2,DOMAKONDA MALLAIAH,M,37,SC,BSP,Bahujan Samaj Party,Elephant
27,Choppadandi,1,3,LINGAMPALLI SHANKARAIAH,M,33,SC,BJP,Bharatiya Janata Party,Lotus
27,Choppadandi,1,4,SUDDALA DEVAIAH,M,53,SC,TDP,Telugu Desam,Bicycle
27,Choppadandi,1,5,CHINTHALA MALLESHAM,M,57,SC,TPPP,Trilinga Praja Pragati Party,Hat
27,Choppadandi,1,6,THODETI BABU,M,37,SC,LSP,Lok Satta Party,Whistle
27,Choppadandi,1,7,MALLIALA PRATHAP,M,37,SC,JD(U),Janata Dal (United),Arrow
